"","db","query","kingdom","phylum","class","order","family","genus","species","community"
"164","ncbi","Curculionidae","Metazoa","Arthropoda","Insecta","Coleoptera","Curculionidae","unassigned","unassigned","macrofauna_surface"
"165","ncbi","Olibrus","Metazoa","Arthropoda","Insecta","Coleoptera","Phalacridae","Olibrus","unassigned","macrofauna_surface"
"166","ncbi","Camponotus fallax","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus fallax","macrofauna_surface"
"167","ncbi","Lucasius","Metazoa","Arthropoda","Malacostraca","Isopoda","Porcellionidae","Lucasius","unassigned","macrofauna_surface"
"168","ncbi","Hogna radiata","Metazoa","Arthropoda","Arachnida","Araneae","Lycosidae","Hogna","Hogna radiata","macrofauna_surface"
"169","ncbi","Saitis","Metazoa","Arthropoda","Arachnida","Araneae","Salticidae","Saitis","unassigned","macrofauna_surface"
"170","ncbi","Macroscytus brunneus","Metazoa","Arthropoda","Insecta","Hemiptera","Cydnidae","Macroscytus","Macroscytus brunneus","macrofauna_surface"
"171","ncbi","Trichoptera","Metazoa","Arthropoda","Insecta","Trichoptera","unassigned","unassigned","unassigned","macrofauna_surface"
"172","ncbi","Aphrodes","Metazoa","Arthropoda","Insecta","Hemiptera","Cicadellidae","Aphrodes","unassigned","macrofauna_surface"
"173","ncbi","Athysanini","Metazoa","Arthropoda","Insecta","Hemiptera","Cicadellidae","unassigned","unassigned","macrofauna_surface"
"174","ncbi","Staphylinini","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","unassigned","unassigned","macrofauna_surface"
"175","ncbi","Carterus fulvipes","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Carterus","Carterus fulvipes","macrofauna_surface"
"176","ncbi","Guanchia pubescens","Metazoa","Arthropoda","Insecta","Dermaptera","Forficulidae","Guanchia","Guanchia pubescens","macrofauna_surface"
"177","ncbi","Ceraphronidae","Metazoa","Arthropoda","Insecta","Hymenoptera","Ceraphronidae","unassigned","unassigned","macrofauna_surface"
"178","ncbi","Enicopus","Metazoa","Arthropoda","Insecta","Coleoptera","Melyridae","Enicopus","unassigned","macrofauna_surface"
"179","ncbi","Calathus ambiguus","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Calathus","Calathus ambiguus","macrofauna_surface"
"180","ncbi","Phalangiidae","Metazoa","Arthropoda","Arachnida","Opiliones","Phalangiidae","unassigned","unassigned","macrofauna_surface"
"181","ncbi","Nala lividipes","Metazoa","Arthropoda","Insecta","Dermaptera","Labiduridae","Nala","Nala lividipes","macrofauna_surface"
"182","ncbi","Dysdera","Metazoa","Arthropoda","Arachnida","Araneae","Dysderidae","Dysdera","unassigned","macrofauna_surface"
"183","ncbi","Tachydromiinae","Metazoa","Arthropoda","Insecta","Diptera","Hybotidae","unassigned","unassigned","macrofauna_surface"
"184","ncbi","Onthophagini","Metazoa","Arthropoda","Insecta","Coleoptera","Scarabaeidae","unassigned","unassigned","macrofauna_surface"
"185","ncbi","Salticinae","Metazoa","Arthropoda","Arachnida","Araneae","Salticidae","unassigned","unassigned","macrofauna_surface"
"186","ncbi","Thanatus","Metazoa","Arthropoda","Arachnida","Araneae","Philodromidae","Thanatus","unassigned","macrofauna_surface"
"187","ncbi","Lepismatidae","Metazoa","Arthropoda","Insecta","Zygentoma","Lepismatidae","unassigned","unassigned","macrofauna_surface"
"188","ncbi","Messor barbarus","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Messor","Messor barbarus","macrofauna_surface"
"189","itis","Coprochara","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","Aleochara","unassigned","macrofauna_surface"
"190","itis","Aphodius","Metazoa","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Aphodius","unassigned","macrofauna_surface"
"191","itis","Solenopsis","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Solenopsis","unassigned","macrofauna_surface"
"192","itis","Corticariinae","Metazoa","Arthropoda","Insecta","Coleoptera","Latridiidae","unassigned","unassigned","macrofauna_surface"
"193","itis","Polyphaga","Metazoa","Arthropoda","Insecta","Coleoptera","unassigned","unassigned","unassigned","macrofauna_surface"
"194","itis","Anthicinae","Metazoa","Arthropoda","Insecta","Coleoptera","Anthicidae","unassigned","unassigned","macrofauna_surface"
